NAME,i,STATE,SABB,DISTRICT,P,COMMITTEES,WEBSITE,LPP
"ABRAHAM, RALPH",181,LOUISIANA,LA,LA-05,R,Agriculture; Armed Services,abrahamforgovernor.com,1
"ADAMS, ALMA",299,NORTH CAROLINA,NC,NC-12,D,Agriculture; Financial Services; Education and Labor,almaadamsforcongress.com,0
"ADERHOLT, ROBERT",4,ALABAMA,AL,AL-04,R,Appropriations,aderholtforcongress.org,0
"AGUILAR, PETE",53,CALIFORNIA,CA,CA-31,D,Appropriations; House Administration,peteaguilar.com,0
"ALLEN, RICK",128,GEORGIA,GA,GA-12,R,Agriculture; Education and Labor,rickwallen.com,1
"ALLRED, COLIN",398,TEXAS,TX,TX-32,D,Foreign Affairs; Transportation and Infrastructure; Veterans' Affairs,colinallred.com,0
"AMASH, JUSTIN",204,MICHIGAN,MI,MI-03,R,Oversight and Reform,justinamash.com,0
"AMODEI, MARK",241,NEVADA,NV,NV-02,R,Appropriations,amodeifornevada.com,1
"ARMSTRONG, KELLY",301,NORTH DAKOTA,ND,ND-AL,R,Select Committee on the Climate Crisis; Oversight and Reform; Judiciary,armstrongnd.com,1
"ARRINGTON, JODEY",385,TEXAS,TX,TX-19,R,Ways and Means,jodeyarrington.com,1
"AXNE, CYNTHIA",165,IOWA,IA,IA-03,D,Agriculture; Financial Services,cindyaxneforcongress.com,0
"BABIN, BRIAN",402,TEXAS,TX,TX-36,R,"Transportation and Infrastructure; Science, Space, and Technology",babinforcongress.com,1
"BACON, DON",238,NEBRASKA,NE,NE-02,R,Agriculture; Armed Services,donjbacon.com,0
"BAIRD, JAMES",157,INDIANA,IN,IN-04,R,"Agriculture; Science, Space, and Technology",electjimbaird.com,1
"BALDERSON, TROY",314,OHIO,OH,OH-12,R,"Transportation and Infrastructure; Small Business; Science, Space, and Technology",baldersonforcongress.com,1
"BANKS, JIM",156,INDIANA,IN,IN-03,R,Armed Services; Education and Labor; Veterans' Affairs,jimbanks.us,1
"BARR, ANDY",176,KENTUCKY,KY,KY-06,R,Financial Services; Veterans' Affairs,andybarrforcongress.com,0
"BARRAGÁN, NANETTE",66,CALIFORNIA,CA,CA-44,D,Homeland Security; Energy and Commerce,barraganforcongress.com,0
"BASS, KAREN",59,CALIFORNIA,CA,CA-37,D,Foreign Affairs; Judiciary,karenbass.com,1
"BEATTY, JOYCE",305,OHIO,OH,OH-03,D,Financial Services,beattyforcongress.com,0
"BERA, AMI",29,CALIFORNIA,CA,CA-07,D,"Foreign Affairs; Science, Space, and Technology",beraforcongress.com,0
"BERGMAN, JACK",202,MICHIGAN,MI,MI-01,R,Armed Services; Veterans' Affairs,bergmanforcongress.com,1
"BEYER, DON",416,VIRGINIA,VI,VI-08,D,"Science, Space, and Technology; Ways and Means",friendsofdonbeyer.com,0
"BIGGS, ANDY",14,ARIZONA,AZ,AZ-05,R,"Judiciary; Science, Space, and Technology",biggsforcongress.com,1
"BILIRAKIS, GUS M.",101,FLORIDA,FL,FL-12,R,Energy and Commerce; Veterans' Affairs,bilirakisforcongress.com,1
"BISHOP JR., SANFORD D.",118,GEORGIA,GA,GA-02,D,Appropriations,sanfordbishop.com,0
"BISHOP, ROB",403,UTAH,UT,UT-01,R,Armed Services; Natural Resources,?,NA
"BLUMENAUER, EARL",326,OREGON,OR,OR-03,D,Ways and Means,earlblumenauer.com,0
"BLUNT ROCHESTER, LISA",88,DELAWARE,DE,DE-AL,D,Energy and Commerce,lisabluntrochester.com,1
"BONAMICI, SUZANNE",324,OREGON,OR,OR-01,D,"Select Committee on the Climate Crisis; Education and Labor; Science, Space, and Technology",bonamiciforcongress.com,1
"BOST, MIKE",147,ILLINOIS,IL,IL-12,R,Agriculture; Transportation and Infrastructure; Veterans' Affairs,bostforcongress.com,1
"BOYLE, BRENDAN",330,PENNSYLVANIA,PA,PA-02,D,Budget; Ways and Means,voteboyle.com,0
"BRADY, KEVIN",374,TEXAS,TX,TX-08,R,Joint Committee on Taxation; Ways and Means,bradyforcongress.com,1
"BRINDISI, ANTHONY",282,NEW YORK,NY,NY-22,D,Agriculture; Veterans' Affairs,brindisiforcongress.com,1
"BROOKS, MO",5,ALABAMA,AL,AL-05,R,"Armed Services; Science, Space, and Technology",mobrooksforcongress.com,1
"BROOKS, SUSAN W.",158,INDIANA,IN,IN-05,R,Energy and Commerce; Select Committee on the Modernization of Congress,susanbrooksforcongress.com,0
"BROWN, ANTHONY",188,MARYLAND,MD,MD-04,D,Armed Services; Natural Resources; Transportation and Infrastructure; Ethics,anthonybrown.com,0
"BROWNLEY, JULIA",48,CALIFORNIA,CA,CA-26,D,Select Committee on the Climate Crisis; Transportation and Infrastructure; Veterans' Affairs,juliabrownley.com,0
"BUCHANAN, VERN",105,FLORIDA,FL,FL-16,R,Ways and Means,vernbuchanan.com,1
"BUCK, KEN",79,COLORADO,CO,CO-04,R,Foreign Affairs; Judiciary,buckforcolorado.com,1
"BUCSHON, LARRY",161,INDIANA,IN,IN-08,R,Energy and Commerce,bucshonforcongress.com,0
"BUDD, TED",300,NORTH CAROLINA,NC,NC-13,R,Financial Services,tedbudd.com,0
"BURCHETT, TIM",359,TENNESSEE,TN,TN-02,R,Budget; Foreign Affairs; Small Business,burchettforcongress.com,1
"BURGESS, MICHAEL",392,TEXAS,TX,TX-26,R,Energy and Commerce; Rules,burgessforcongress.org,0
"BUSTOS, CHERI",152,ILLINOIS,IL,IL-17,D,Agriculture; Appropriations,cheribustos.com,0
"BUTTERFIELD, G.K.",288,NORTH CAROLINA,NC,NC-01,D,House Administration; Energy and Commerce; Joint Committee of Congress on the Library,gkbutterfield.com,0
"BYRNE, BRADLEY",1,ALABAMA,AL,AL-01,R,Armed Services; Education and Labor,bradleybyrne.com,0
"CALVERT, KEN",64,CALIFORNIA,CA,CA-42,R,Appropriations,calvertforcongress.com,1
"CARBAJAL, SALUD",46,CALIFORNIA,CA,CA-24,D,Agriculture; Armed Services; Transportation and Infrastructure,saludcarbajal.com,1
"CÁRDENAS, TONY",51,CALIFORNIA,CA,CA-29,D,Energy and Commerce,tonycardenasforcongress.com,0
"CARSON, ANDRÉ",160,INDIANA,IN,IN-07,D,Intelligence; Transportation and Infrastructure,andrecarson.com,0
"CARTER, BUDDY",117,GEORGIA,GA,GA-01,R,Select Committee on the Climate Crisis; Energy and Commerce,buddycarterforcongress.com,0
"CARTER, JOHN",397,TEXAS,TX,TX-31,R,Appropriations,johncarterforcongress.com,1
"CARTWRIGHT, MATT",336,PENNSYLVANIA,PA,PA-08,D,Appropriations; Natural Resources,cartwrightcongress.com,1
"CASE, ED",132,HAWAII,HI,HI-01,D,Appropriations; Natural Resources,edcase.com,0
"CASTEN, SEAN",141,ILLINOIS,IL,IL-06,D,"Financial Services; Select Committee on the Climate Crisis; Science, Space, and Technology",castenforcongress.com,1
