NAME,STATE,SABB,P,LEY,CLASS,COMMITTEES,WEBSITE,LPP,DPP,VENDOR,FBP,,,,,
"ALEXANDER, LAMAR",TENNESSEE,TN,R,2014,2,"Appropriations; Energy and Natural Resources; Health, Education, Labor, and Pensions; Rules and Administration; Joint Select Committee on Solvency of Multiemployer Pension Plans",alexanderforsenate.com,1,NA,,1,,,,,
"BALDWIN, TAMMY",WISCONSIN,WI,D,2018,1,"Appropriations; Commerce, Science, and Transportation; Health, Education, Labor, and Pensions",tammybaldwin.com,1,0,ActBlue,1,,,,,
"BARRASSO, JOHN",WYOMING,WY,R,2018,1,Energy and Natural Resources; Environment and Public Works; Foreign Relations; Indian Affairs,barrassoforwyoming.com,1,AMT,Anedot,1,,,,,
"BENNET, MICHAEL",COLORADO,CO,D,2016,3,"Agriculture, Nutrition, and Forestry; Finance; Joint Select Committee on Budget and Appropriations Process Reform; Select Committee on Intelligence",michaelbennet.com,1,0,ActBlue,1,,,,,
"BLACKBURN, MARSHA",TENNESSEE,TN,R,2018,1,"Armed Services; Commerce, Science, and Transportation; Judiciary; Veterans' Affairs",marshablackburn.com,1,STD,Victory Passport,1,,,,,
"BLUMENTHAL, RICHARD",CONNECTICUT,CT,D,2016,3,"Armed Services; Commerce, Science, and Transportation; Judiciary; Veterans' Affairs; Special Committee on Aging",richardblumenthal.com,0,0,ActBlue,0,,,,,
"BLUNT, ROY",MISSOURI,MO,R,2016,3,"Appropriations; Commerce, Science, and Transportation; Rules and Administration; Joint Committee on Printing; Joint Committee on the Library; Joint Select Committee on Budget and Appropriations Process Reform; Select Committee on Intelligence",royblunt.com,1,STD,Victory Passport,1,,,,,
"BOOKER, CORY",NEW JERSEY,NJ,D,2014,2,Environment and Public Works; Foreign Relations; Small Business and Entrepreneurship; Judiciary,corybooker.com,1,STD,ActBlue,1,,,,,
"BOOZMAN, JOHN",ARKANSAS,AR,R,2016,3,"Commission on Security and Cooperation in Europe; Agriculture, Nutrition, and Forestry; Appropriations; Environment and Public Works; Veterans' Affairs",boozmanforarkansas.com,1,STD,WidgetMakr,1,,,,,
"BRAUN, MIKE",INDIANA,IN,R,2018,1,"Agriculture, Nutrition, and Forestry; Environment and Public Works; Health, Education, Labor, and Pensions; Budget; Special Committee on Aging",mikebraunforindiana.com,1,AMT,Anedot,1,,,,,
"BROWN, SHERROD",OHIO,OH,D,2018,1,"Agriculture, Nutrition, and Forestry; Banking, Housing, and Urban Affairs; Finance; Veterans' Affairs; Joint Select Committee on Solvency of Multiemployer Pension Plans ",sherrodbrown.com,1,0,ActBlue,1,,,,,
"BURR, RICHARD",NORTH CAROLINA,NC,R,2016,3,"Finance; Health, Education, Labor, and Pensions; Select Committee on Intelligence; Special Committee on Aging",burrforsenate.com,0,STD,Victory Passport,1,,,,,
"CANTWELL, MARIA",WASHINGTON,WA,D,2018,1,"Commerce, Science, and Transportation; Energy and Natural Resources; Finance; Indian Affairs; Small Business and Entrepreneurship",cantwell.com,0,0,ActBlue,0,,,,,
"CAPITO, SHELLEY",WEST VIRGINIA,WV,R,2014,2,"Appropriations; Commerce, Science, and Transportation; Environment and Public Works; Rules and Administration",capito2020.com,0,AMT,Anedot,1,,,,,
"CARDIN, BENJAMIN",MARYLAND,MD,D,2018,1,Commission on Security and Cooperation in Europe; Environment and Public Works; Finance; Foreign Relations; Small Business and Entrepreneurship,bencardin.com,0,0,ActBlue,0,,,,,
"CARPER, THOMAS",DELAWARE,DE,D,2018,1,Environment and Public Works; Finance; Homeland Security and Governmental Affairs,carperfordelaware.com,1,0,ActBlue,1,,,,,
"CASEY, ROBERT",PENNSYLVANIA,PA,D,2018,1,"Agriculture, Nutrition, and Forestry; Finance; Health, Education, Labor, and Pensions; Special Committee on Aging",bobcasey.com,0,AMT,ActBlue,1,,,,,
"CASSIDY, BILL",LOUISIANA,LA,R,2014,2,"Energy and Natural Resources; Finance; Health, Education, Labor, and Pensions; Veterans' Affairs; Joint Economic Committee",billcassidy.com,1,STD,Victory Passport,1,,,,,
"COLLINS, SUSAN",MAINE,ME,R,2014,2,"Appropriations; Health, Education, Labor, and Pensions; Select Committee on Intelligence; Special Committee on Aging",susancollins.com,0,0,,0,,,,,
"COONS, CHRISTOPHER",DELAWARE,DE,D,2014,2,Appropriations; Foreign Relations; Small Business and Entrepreneurship; Judiciary; Select Committee on Ethics,chriscoons.com,1,AMT,ActBlue,1,,,,,
"CORNYN, JOHN",TEXAS,TX,R,2014,2,Finance; Judiciary; Select Committee on Intelligence; United States Senate Caucus on International Narcotics Control,johncornyn.com,0,0,Revv,0,,,,,
"CORTEZ MASTO, CATHERINE",NEVADA,NV,D,2016,3,"Banking, Housing, and Urban Affairs; Energy and Natural Resources; Finance; Indian Affairs; Rules and Administration",catherinecortezmasto.com,0,0,ActBlue,0,,,,,
"COTTON, TOM",ARKANSAS,AR,R,2014,2,"Armed Services; Banking, Housing, and Urban Affairs; Joint Economic Committee; Select Committee on Intelligence",tomcotton.com,1,AMT,eDonation,1,,,,,
"CRAMER, KEVIN",NORTH DAKOTA,ND,R,2018,1,"Armed Services; Banking, Housing, and Urban Affairs; Environment and Public Works; Budget; Veterans' Affairs",kevincramer.org,1,STD,WidgetMakr,1,,,,,
